id,name,uri_x,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,playlist
2lMg3lCMOGistaWBNGjuT3,Blow the Whistle,spotify:track:2lMg3lCMOGistaWBNGjuT3,0.0042,0.907,163133,0.625,0.0,1,0.151,-5.557,1,0.198,99.918,4,0.605,party
12LjNmRrdzhTn1vMcxN81m,Money Ain't a Thang,spotify:track:12LjNmRrdzhTn1vMcxN81m,0.0581,0.854,254253,0.738,0.0,6,0.106,-7.284,0,0.244,100.0,4,0.847,party
3fpTMuD1u3gJlVI4FadVHs,Fancy,spotify:track:3fpTMuD1u3gJlVI4FadVHs,0.328,0.652,319387,0.894,0.0,0,0.354,-5.701,0,0.398,87.59,4,0.262,party
4b5aJdOgxps6z0dPe6wCHF,Into You (feat. Ashanti),spotify:track:4b5aJdOgxps6z0dPe6wCHF,0.179,0.726,274333,0.568,0.0,7,0.0488,-8.358,0,0.0298,91.906,4,0.631,party
7nYvUtkQMx1v80S2FH2s9J,Regulate,spotify:track:7nYvUtkQMx1v80S2FH2s9J,0.29,0.845,248867,0.51,2.39e-06,11,0.114,-13.064,0,0.224,95.265,4,0.74,party
0b0YJjeoC46wvQ9GEbtfzU,Superhyphy,spotify:track:0b0YJjeoC46wvQ9GEbtfzU,0.000198,0.906,204907,0.701,0.0,4,0.09,-6.479,0,0.227,103.01,4,0.634,party
3RmKpob8xzv1pzHEQrMJah,Let Me Blow Ya Mind,spotify:track:3RmKpob8xzv1pzHEQrMJah,0.243,0.909,229933,0.539,0.0,8,0.0674,-4.278,0,0.116,90.038,4,0.869,party
4SyadrABZJIjeND1HPJS31,Rollout (My Business),spotify:track:4SyadrABZJIjeND1HPJS31,0.0942,0.919,296587,0.677,0.0,2,0.594,-8.642,1,0.254,131.05,4,0.875,party
0F7rEdewJ6cSLylOZZpDu7,I'm Sprung,spotify:track:0F7rEdewJ6cSLylOZZpDu7,0.088,0.722,230713,0.329,0.0,0,0.081,-11.617,0,0.108,99.991,4,0.166,party
0aj2QKJvz6CePykmlTApiD,Señorita,spotify:track:0aj2QKJvz6CePykmlTApiD,0.0729,0.841,294867,0.629,0.0,1,0.0742,-5.351,1,0.0442,97.963,4,0.87,party
3fyMH1t6UPeR5croea9PrR,Best I Ever Had,spotify:track:3fyMH1t6UPeR5croea9PrR,0.219,0.427,257760,0.861,0.0,1,0.277,-4.874,1,0.376,161.776,4,0.581,party
2FbD2sqUmAdjqqCBp0mn2g,Foolish,spotify:track:2FbD2sqUmAdjqqCBp0mn2g,0.337,0.665,227387,0.696,0.0,0,0.106,-5.763,1,0.0521,90.116,4,0.711,party
